"","V1","V2","V3","V4","V5","V6"
"122",0.625286,0.00149592,0.3753285,0.314811,0.001330325,0.0875959
"123",0.6371165,0.02496375,0.2644505,0.4580005,0.002224185,0.001072465
"124",0.636023,0.003749535,0.361503,0.4341895,0.0004689505,0.00107352
"125",1.023495,0.00957809,0.201282,0.1462895,0.000706096,0.008897525
"126",0.527016,0.02919545,0.404472,0.4496835,0.0006419975,0.00424666
"127",1.052135,0.001437085,0.00156714,0.0129241,0.2614595,0.00102589
"128",1.108705,0.009583115,0.0682204,0.047786,0.02507725,0.0826245
"129",0.7634515,0.02336115,0.2751875,0.378353,0.0004668565,0.002438955
"130",0.6393,0.001300825,0.00213814,0.275696,0.3645905,0.001660375
"131",0.2190625,0.4138115,0.0272394,0.318794,0.02204105,0.401596
"132",0.498866,0.08349275,0.0235738,0.3376605,0.1558255,0.206645
"133",0.7020765,0.003966305,0.001096835,0.211742,0.4019335,0.00168417
"134",1.14425,0.01419125,0.112316,0.085801,0.00124795,0.00186532
"135",0.851025,0.0018367,0.00181587,0.229055,0.258546,0.000744304
"136",0.323952,0.4519875,0.02131655,0.161477,0.0999597,0.2886155
"137",1.032725,0.00156894,0.0922114,0.237218,0.0006852165,0.00162288
"138",0.4480965,0.1213375,0.0125988,0.3803885,0.3010975,0.0661546
"139",0.4357855,0.0292172,0.321637,0.5393075,0.0008921675,0.0724927
"140",1.082715,0.00666225,0.0753951,0.112203,0.00139866,0.09357675
"141",0.5300635,0.0230413,0.00101159,0.3500175,0.387509,0.001272295
"142",0.791377,0.0174722,0.2838275,0.3699975,0.000525618,0.002463745
"143",0.5773955,0.00201175,0.405654,0.4763755,0.000497494,0.001393645
"144",1.248505,0.0346684,0.001739005,0.005041435,0.0517883,0.0009788875
"145",1.121405,0.00167164,0.00255712,0.007807785,0.1652135,0.00507742
"146",1.03407,0.0008690555,0.001067615,0.00565422,0.2663925,0.0008825875
"147",0.5863625,0.00239921,0.4174995,0.4826655,0.0005167675,0.001348775
"148",1.286695,0.00235588,0.00444898,0.0239104,0.005909595,0.0007853495
"149",0.5867405,0.06703305,0.335034,0.3994345,0.0255431,0.0008668995
"150",0.592728,0.00306985,0.0745069,0.253956,0.0008486645,0.5044665
"151",0.8107855,0.002609035,0.00616419,0.1142395,0.3672475,0.01313495
"152",0.725629,0.002189755,0.005777565,0.1846255,0.3691705,0.0294949
"153",0.801112,0.05939195,0.216005,0.334825,0.0004687255,0.00518278
"154",0.877487,0.004038855,0.0749726,0.0305889,0.00310443,0.3720755
"155",0.8334975,0.002942175,0.183086,0.2752655,0.0005429195,0.0806549
"156",0.4624745,0.0117241,0.347683,0.349624,0.03913675,0.193419
"157",0.8197115,0.00148023,0.003095205,0.1841165,0.287474,0.003251845
"158",0.794533,0.00151772,0.00476612,0.1596695,0.256965,0.122681
"159",0.8711315,0.002646555,0.1570735,0.350877,0.000401827,0.002094855
"160",0.6161555,0.01796925,0.2151675,0.328578,0.0005576425,0.2416625
"161",0.7095685,0.0188872,0.2093905,0.2563335,0.000516999,0.1895155
"162",0.726166,0.05560285,0.1725935,0.298046,0.000467621,0.1414175
"163",0.630226,0.03591625,0.214343,0.329382,0.000666514,0.219512
"164",0.626283,0.06075275,0.1853055,0.286135,0.000638978,0.2663405
"165",0.756255,0.005723,0.2052075,0.409924,0.00050785,0.0686589
"166",0.7651855,0.00237021,0.00149851,0.2171585,0.343953,0.0006614345
"167",0.843136,0.0139672,0.166928,0.138866,0.02287365,0.2054845
"168",0.7274045,0.00169926,0.002220765,0.1767265,0.369868,0.001460085
"169",0.743677,0.00188632,0.00192319,0.1946985,0.3251595,0.00283288
"170",0.7178805,0.101568,0.01922055,0.397418,0.138565,0.000981599
"171",0.606489,0.0419118,0.150588,0.283128,0.000468257,0.321024
"172",1.242445,0.00812376,0.004147235,0.00589183,0.0966576,0.0007699135
"173",1.276075,0.00486425,0.002670205,0.00482773,0.06378395,0.000674566
"174",0.369255,0.151675,0.203625,0.342819,0.07145315,0.248912
"175",1.26122,0.00755888,0.00458223,0.0187906,0.0725088,0.000725484
"176",1.32862,0.00117294,0.001574675,0.00373874,0.00276849,0.000646089
"177",1.290275,0.00526869,0.00177442,0.00665876,0.0564601,0.000902683
"178",0.6259495,0.02881585,0.3055385,0.4515145,0.00164885,0.000976719
"179",0.4515905,0.00835257,0.4820815,0.462946,0.001031625,0.0226089
"180",0.6087105,0.00294597,0.404641,0.459705,0.0005503775,0.001280955
"181",1.233585,0.003930875,0.0164031,0.01399905,0.05259785,0.0009398295
"182",0.7952485,0.00145582,0.002050305,0.1558775,0.317565,0.00533126
"183",0.7467085,0.0104254,0.293984,0.3759855,0.000502778,0.002946095
"184",0.868249,0.00167316,0.157092,0.3799495,0.0003334795,0.001540595
"185",0.869131,0.00161069,0.158999,0.3771905,0.000397129,0.00140959
"186",1.132385,0.003780405,0.00149661,0.00887882,0.1650285,0.001393865
"187",0.612838,0.002761555,0.439413,0.394656,0.0003996235,0.001101345
"188",0.846634,0.006192825,0.2387055,0.3105185,0.000377498,0.005161115
"189",0.792803,0.009685735,0.23245,0.38092,0.000441736,0.0185329
"190",0.609555,0.00244328,0.3903855,0.452218,0.000542011,0.00153393
"191",1.11786,0.003623715,0.08869375,0.162026,0.003024165,0.001936715
"192",0.649394,0.00531944,0.378555,0.388543,0.0003989545,0.00143917
"193",0.204401,0.3775065,0.2301755,0.1709355,0.0108247,0.441814
"194",1.13189,0.00337659,0.001425245,0.00828771,0.1700975,0.001375545
"195",0.463529,0.0088292,0.432756,0.2418375,0.00109386,0.2370635
"196",0.5949295,0.08990995,0.122198,0.140714,0.3244315,0.00288155
"197",0.5614335,0.05681175,0.395968,0.4164115,0.0005854675,0.00625259
"198",0.554852,0.0174614,0.4389455,0.418726,0.0007186035,0.002806845
"199",1.108015,0.002917005,0.00132086,0.02872385,0.1961015,0.00061922
"200",0.6033005,0.0187588,0.00549873,0.492627,0.1777685,0.05135795
"201",0.1664475,0.174511,0.1736165,0.1519275,0.216831,0.5499645
"202",0.69266,0.0033744,0.00170595,0.214883,0.367444,0.00110217
"203",0.209766,0.3150575,0.3328895,0.1730045,0.111315,0.257499
"204",0.5521425,0.00349562,0.2183295,0.217779,0.0454464,0.375852
"205",0.541049,0.01068225,0.4798925,0.3791125,0.0004412395,0.004122625
"206",0.594673,0.006565715,0.398693,0.432744,0.000430281,0.00153523
"207",0.2969325,0.001615505,0.1021475,0.00648837,0.0034107,0.994212
"208",0.409228,0.0076366,0.390458,0.1989,0.01258655,0.3929365
"209",0.203625,0.1732765,0.2232175,0.00293096,0.128881,0.623045
"210",0.303874,0.000927795,0.003321625,0.00221417,0.00205371,1.04484
"211",0.3136905,0.00141455,0.05746815,0.000769393,0.01372255,1.00487
"212",0.2012995,0.000513719,0.00178423,0.0009897155,0.000849577,1.209895
"213",0.15566,0.0005654105,0.001439645,0.000761248,0.0008948245,1.25858
"214",0.3489785,0.01189465,0.1218085,0.1499805,0.0305855,0.729726
"215",0.324368,0.154334,0.1476605,0.0101242,0.0387991,0.7740755
"216",0.591731,0.00383655,0.0423291,0.09448895,0.0433846,0.625961
"217",0.4022605,0.00681659,0.3902455,0.1997385,0.0120578,0.399544
"218",0.2566965,0.00164486,0.03423055,0.04247405,0.00458063,1.067225
"219",0.3395455,0.0889578,0.0271867,0.02536805,0.001874285,0.9135005
"220",0.2268495,0.000539228,0.002093715,0.0009160515,0.000721065,1.1379
"221",0.360874,0.005971215,0.15121,0.138614,0.02952065,0.694977
"222",0.232077,0.000678292,0.001249445,0.0374542,0.001121195,1.0993
"223",0.260427,0.08625005,0.0122285,0.0171281,0.08984865,0.9261285
"224",0.32258,0.00108252,0.01090985,0.001659705,0.00175565,1.025215
"225",0.363911,0.06555375,0.1016455,0.1945445,0.00133844,0.7094485
"226",0.5548695,0.00876688,0.107788,0.141388,0.001635195,0.620459
"227",0.2995205,0.1393745,0.007050955,0.1155645,0.09226395,0.7996155
"228",0.199082,0.0011834,0.3181585,0.0262428,0.00225056,0.858867
"229",0.2346655,0.00060148,0.00192949,0.0009037315,0.0007284115,1.134615
"230",0.2741365,0.000582788,0.001211545,0.001031015,0.000614208,1.08735
"231",0.2879805,0.001129225,0.0317016,0.0007067675,0.0180682,1.06125
