"","V1","V2","V3","V4","V5","V6"
"103",0.533886,0.000673229,0.5598275,0.00041876,0.2672275,0.000365105
"104",0.209463,0.02902725,0.6222615,0.00258706,0.342917,0.185548
"105",0.575108,0.0227456,0.624085,0.03319975,0.108013,0.001900605
"106",0.5529185,0.01556735,0.635254,0.00246937,0.1202085,0.00177088
"107",0.5984645,0.04401,0.593295,0.005189055,0.078486,0.005501015
"108",0.6054835,0.02503615,0.6125395,0.00248476,0.0800446,0.00247569
"109",0.003612205,0.003435735,0.234687,0.712887,0.445194,0.00439095
"110",0.7116015,0.003548975,0.57179,0.00106781,0.02078725,0.000945255
"111",0.4760015,0.00371593,0.5999325,0.0530218,0.229334,0.0009455905
"112",0.522424,0.0010518,0.473967,0.000610381,0.3552305,0.000671991
"113",0.7258445,0.00230085,0.589521,0.003193735,0.0304133,0.001433005
"114",0.7084605,0.0265009,0.4438675,0.0156905,0.0659515,0.0644058
"115",0.6209215,0.005226655,0.503124,0.05753325,0.1253095,0.002192585
"116",0.711646,0.002979595,0.547394,0.00330531,0.08010395,0.00231272
"117",0.298887,0.002495845,0.366832,0.3213935,0.299084,0.05140105
"118",0.3019735,0.0109834,0.560687,0.008478265,0.2381715,0.244534
"119",0.4676885,0.00487123,0.439218,0.00135945,0.3882775,0.001090595
"120",0.6031625,0.02711215,0.4329275,0.00332354,0.291274,0.003707765
"121",0.794254,0.00277378,0.1467555,0.02426225,0.001721635,0.3441705
"122",0.1562325,0.130723,0.002867335,0.198125,0.365342,0.558705
"123",0.08547105,0.00246352,0.002514845,0.00235127,0.6156975,0.6585865
"124",0.00345142,0.00311599,0.00136215,0.002150265,0.652223,0.7418985
"125",0.2453305,0.001703465,0.0005022905,0.08720415,0.2542525,0.785179
"126",0.00560649,0.0197668,0.04510195,0.0333868,0.604172,0.680412
"127",0.714821,0.002963295,0.00118194,0.0393558,0.0009602405,0.5678925
"128",0.470222,0.002265235,0.000632833,0.193341,0.004054715,0.6782275
"129",0.004455145,0.00203377,0.00149729,0.01186215,0.603675,0.788366
"130",0.885424,0.05446045,0.02185865,0.05444085,0.00331136,0.285952
"131",0.00432629,0.006194045,0.359602,0.296206,0.302867,0.446836
"132",0.408554,0.003754245,0.233056,0.255823,0.0795605,0.3532765
"133",0.8370905,0.00396307,0.100392,0.03554055,0.001661865,0.3625115
"134",0.3730235,0.001987645,0.0005744175,0.0179427,0.14807,0.7945435
"135",0.811706,0.00341966,0.002165025,0.003126675,0.03484405,0.480524
"136",0.1127,0.01939315,0.3965645,0.222529,0.135945,0.479552
"137",0.201092,0.001158675,0.0004345265,0.00477637,0.3891195,0.7434425
"138",0.444952,0.01019805,0.30743,0.0860258,0.1665165,0.34203
"139",0.02078965,0.00771275,0.123356,0.06869185,0.5964685,0.5725905
"140",0.315847,0.00133333,0.000511854,0.1113205,0.173681,0.754874
"141",0.6969405,0.002880885,0.226725,0.0256017,0.0896454,0.26618
"142",0.0146232,0.001701465,0.0009931995,0.01545585,0.596838,0.8022685
"143",0.00692273,0.0547068,0.003751045,0.00716508,0.6805015,0.6658255
"144",0.550238,0.00106887,0.0006222015,0.005793015,0.001888275,0.758593
"145",0.5563885,0.0017025,0.0006492195,0.156932,0.00117947,0.6004315
"146",0.7374245,0.002151075,0.000565436,0.0143411,0.0006826975,0.5400125
"147",0.009731085,0.0548179,0.008149405,0.01032865,0.6837155,0.688379
"148",0.49689,0.0007085795,0.0003082495,0.00309422,0.00455856,0.7866625
